ExReleaseSpinLockSharedFromDpcLevel                   000000014003E650 263    
ExRundownCompleted                                    00000001400F8B0C 264    
ExRundownCompletedCacheAware                          00000001400DD698 265    
ExSemaphoreObjectType                                 00000001403A61D8 266    
ExSetFirmwareEnvironmentVariable                      00000001406AF314 267    
ExSetLicenseTamperState                               00000001406AD670 268    
ExSetResourceOwnerPointer                             0000000140120424 269    
ExSetResourceOwnerPointerEx                           00000001400D5ABC 270    
ExSetTimer                                            00000001400BB7AC 271    
ExSetTimerResolution                                  0000000140139020 272    
ExShareAddressSpaceWithDevice                         0000000140228B4C 273    
ExSizeOfAutoExpandPushLock                            0000000140227510 274    
ExSizeOfRundownProtectionCacheAware                   000000014056097C 275    
ExSubscribeWnfStateChange                             00000001405012D4 276    
ExSystemExceptionFilter                               00000001404B187C 277    
ExSystemTimeToLocalTime                               00000001400FAE90 278    
ExTimedWaitForUnblockPushLock                         000000014000844C 279    
ExTimerObjectType                                     00000001403A60C0 280    
ExTryAcquireAutoExpandPushLockExclusive               0000000140123044 281    
ExTryAcquireAutoExpandPushLockShared                  0000000140121820 282    
ExTryAcquireCacheAwarePushLockExclusiveEx             0000000140227744 283    
ExTryAcquireCacheAwarePushLockSharedEx                0000000140227810 284    
ExTryAcquirePushLockExclusiveEx                       00000001400C2B30 285    
ExTryAcquirePushLockSharedEx                          0000000140009B50 286    
ExTryAcquireSpinLockExclusiveAtDpcLevel               000000014004CB20 287    
ExTryAcquireSpinLockSharedAtDpcLevel                  0000000140227CEC 288    
ExTryConvertPushLockSharedToExclusiveEx               00000001400F189C 289    
ExTryConvertSharedSpinLockExclusive                   00000001400E01F8 290    
ExTryQueueWorkItem                                    00000001400FBF08 291    
ExTryToAcquireFastMutex                               00000001400C22E4 292    
ExTryToAcquireResourceExclusiveLite                   0000000140227A80 293    
ExUnblockOnAddressPushLockEx                          00000001402278D4 294    
ExUnblockPushLockEx                                   00000001402278D4 295    
ExUnregisterCallback                                  000000014011F214 296    
ExUnregisterExtension                                 00000001406B5CA8 297    
ExUnsubscribeWnfStateChange                           00000001404D9870 298    
ExUpdateLicenseData                                   00000001406ADE80 299    
ExUuidCreate                                          000000014040FB58 300    
ExVerifySuite                                         000000014012AF90 301    
ExWaitForRundownProtectionRelease                     00000001400566D4 302    
ExWaitForRundownProtectionReleaseCacheAware           00000001400DD7F8 303    
ExWaitForUnblockPushLock                              0000000140227914 304    
ExWindowStationObjectType                             00000001403A61E0 305    
ExfAcquirePushLockExclusive                           000000014000A244 306    
ExfAcquirePushLockShared                              000000014000A448 307    
ExfReleasePushLock                                    0000000140049850 308    
ExfReleasePushLockExclusive                           0000000140049930 309    
ExfReleasePushLockShared                              0000000140049870 310    
ExfTryAcquirePushLockShared                           0000000140009E48 311    
ExfTryToWakePushLock                                  0000000140049968 312    
ExfUnblockPushLock                                    0000000140146484 313    
ExpInterlockedFlushSList                              000000014014FC80 314    
ExpInterlockedPopEntrySList                           000000014014FC00 315    
ExpInterlockedPushEntrySList                          000000014014FC40 316    
FirstEntrySList                                       000000014014FBF0 317    
FsRtlAcknowledgeEcp                                   00000001404459A0 318    
FsRtlAcquireEofLock                                   00000001400029E0 319    
FsRtlAcquireFileExclusive                             000000014048E24C 320    
FsRtlAcquireHeaderMutex                               0000000140065800 321    
FsRtlAddBaseMcbEntry                                  00000001400D74D4 322    
FsRtlAddBaseMcbEntryEx                                00000001400D74F0 323    
FsRtlAddLargeMcbEntry                                 00000001400D6EC8 324    
FsRtlAddMcbEntry                                      00000001401B8AEC 325    
FsRtlAddToTunnelCache                                 00000001403F4B40 326    
FsRtlAllocateExtraCreateParameter                     00000001403F242C 327    
FsRtlAllocateExtraCreateParameterFromLookasideList    000000014045F570 328    
FsRtlAllocateExtraCreateParameterList                 000000014043F870 329    
FsRtlAllocateFileLock                                 00000001400F95E4 330    
FsRtlAllocatePool                                     00000001401B96E4 331    
FsRtlAllocatePoolWithQuota                            00000001401B970C 332    
FsRtlAllocatePoolWithQuotaTag                         00000001401B9734 333    
FsRtlAllocatePoolWithTag                              00000001401B9754 334    
FsRtlAllocateResource                                 000000014061FCAC 335    
FsRtlAreNamesEqual                                    00000001400D3AB0 336    
FsRtlAreThereCurrentOrInProgressFileLocks             00000001401B90DC 337    
FsRtlAreThereWaitingFileLocks                         00000001401B9100 338    
FsRtlAreVolumeStartupApplicationsComplete             0000000140502120 339    
FsRtlBalanceReads                                     0000000140513538 340    
FsRtlCancellableWaitForMultipleObjects                00000001404C9748 341    
FsRtlCancellableWaitForSingleObject                   00000001404C971C 342    
FsRtlChangeBackingFileObject                          000000014012093C 343    
FsRtlCheckLockForOplockRequest                        00000001400FACF4 344    
FsRtlCheckLockForReadAccess                           00000001400ECE50 345    
FsRtlCheckLockForWriteAccess                          00000001400F21C8 346    
FsRtlCheckOplock                                      00000001400287F0 347    
FsRtlCheckOplockEx                                    00000001400288A0 348    
FsRtlCheckUpperOplock                                 000000014052F080 349    
FsRtlCopyRead                                         000000014061FCF0 350    
FsRtlCopyWrite                                        000000014061FF5C 351    
FsRtlCreateSectionForDataScan                         000000014004DDD8 352    
FsRtlCurrentBatchOplock                               00000001404DBE40 353    
FsRtlCurrentOplock                                    00000001401B9774 354    
FsRtlCurrentOplockH                                   0000000140620E04 355    
FsRtlDeleteExtraCreateParameterLookasideList          000000014061FCCC 356    
FsRtlDeleteKeyFromTunnelCache                         00000001404EBDB4 357    
