Name                                                  Address  Ordinal
----                                                  -------  -------
ExCancelTimer                                         004EB4F4 294    
ExCleanupAutoExpandPushLock                           004DC700 295    
ExCleanupRundownProtectionCacheAware                  0051368C 296    
ExCompositionObjectType                               0063CD30 297    
ExConvertExclusiveToSharedLite                        004E0D8E 298    
ExConvertPushLockExclusiveToShared                    005ED354 299    
ExCoreMessagingObjectType                             0063CD28 300    
ExCreateCallback                                      0074F126 301    
ExDeleteLookasideListEx                               004E18BE 302    
ExDeleteNPagedLookasideList                           00522728 303    
ExDeletePagedLookasideList                            004E186C 304    
ExDeleteResourceLite                                  004B21F0 305    
ExDeleteTimer                                         005118C2 306    
ExDesktopObjectType                                   0063CD2C 307    
ExDisableResourceBoostLite                            00502A70 308    
ExEnterCriticalRegionAndAcquireResourceExclusive      00454150 309    
ExEnterCriticalRegionAndAcquireResourceShared         004D39C0 310    
ExEnterCriticalRegionAndAcquireSharedWaitForExclusive 005EEC2B 311    
ExEnterPriorityRegionAndAcquireResourceExclusive      005EEC5C 312    
ExEnterPriorityRegionAndAcquireResourceShared         004D16E0 313    
ExEnumHandleTable                                     006F8200 314    
ExEnumerateSystemFirmwareTables                       008D5587 315    
ExEventObjectType                                     0063CD38 316    
ExExtendZone                                          005EF7C2 317    
ExFetchLicenseData                                    008D7E6C 318    
ExFlushLookasideListEx                                004E18EE 319    
ExFreeAutoExpandPushLock                              005EE774 320    
ExFreeCacheAwarePushLock                              004F1686 321    
ExFreeCacheAwareRundownProtection                     005009FE 322    
ExFreePool                                            00607BB6 323    
ExFreePoolWithTag                                     00606010 324    
ExFreeToPagedLookasideList                            00481CC2 325    
ExGetCurrentProcessorCounts                           004E1C1A 326    
ExGetCurrentProcessorCpuUsage                         005ED36F 327    
ExGetExclusiveWaiterCount                             005EEC97 328    
ExGetFirmwareEnvironmentVariable                      007A877A 329    
ExGetLicenseTamperState                               008D7F78 330    
ExGetPreviousMode                                     004528C0 331    
ExGetSharedWaiterCount                                005EECAB 332    
ExGetSystemFirmwareTable                              007A5B2A 333    
ExInitializeAutoExpandPushLock                        004D95D2 334    
ExInitializeLookasideListEx                           004DFCBE 335    
ExInitializeNPagedLookasideList                       005021FA 336    
ExInitializePagedLookasideList                        00749E3A 337    
ExInitializePushLock                                  004735AC 338    
ExInitializeResourceLite                              004B4F90 339    
ExInitializeRundownProtectionCacheAware               0073A10C 340    
ExInitializeRundownProtectionCacheAwareEx             00527F88 341    
ExInitializeZone                                      005218E4 342    
ExInterlockedAddLargeInteger                          005EEEF6 343    
ExInterlockedDecrementLong                            005EEF3B 344    
ExInterlockedExchangeUlong                            005EEF51 345    
ExInterlockedExtendZone                               005EF824 346    
ExInterlockedIncrementLong                            005EEF67 347    
ExIsManufacturingModeEnabled                          00762530 348    
ExIsProcessorFeaturePresent                           00509B4C 349    
ExIsResourceAcquiredExclusiveLite                     004D34A0 350    
ExIsResourceAcquiredSharedLite                        00458360 351    
ExLocalTimeToSystemTime                               00512A2A 352    
ExNotifyBootDeviceRemoval                             005EE1FC 353    
ExNotifyCallback                                      004A2480 354    
ExQueryFastCacheDevLicense                            0074C958 355    
ExQueryPoolBlockSize                                  005EE0A5 356    
ExQueryTimerResolution                                005ED8E6 357    
ExQueryWnfStateData                                   0074AF86 358    
ExQueueWorkItem                                       0048085C 359    
ExRaiseAccessViolation                                008DF09B 360    
ExRaiseDatatypeMisalignment                           008DF0AB 361    
ExRaiseException                                      0053A5D0 362    
ExRaiseHardError                                      008DF0BB 363    
ExRaiseStatus                                         0053A624 364    
ExRawInputManagerObjectType                           0063CD24 365    
ExRealTimeIsUniversal                                 00512FC2 366    
ExRegisterBootDevice                                  005EE245 367    
ExRegisterCallback                                    00510B38 368    
ExRegisterExtension                                   0079A01A 369    
ExReinitializeResourceLite                            004B3220 370    
ExReleaseCacheAwarePushLockExclusive                  00500380 371    
ExReleaseResourceForThreadLite                        004E2F78 372    
ExReleaseSpinLockExclusive                            004DB408 373    
ExReleaseSpinLockExclusiveFromDpcLevel                00476660 374    
ExReleaseSpinLockShared                               00495810 375    
ExReleaseSpinLockSharedFromDpcLevel                   00475110 376    
ExSemaphoreObjectType                                 0063CD3C 377    
ExSetFirmwareEnvironmentVariable                      008D9F20 378    
ExSetLicenseTamperState                               008D846B 379    
ExSetResourceOwnerPointer                             00506E36 380    
ExSetResourceOwnerPointerEx                           00480248 381    
ExSetTimer                                            004281A2 382    
ExSetTimerResolution                                  005ED912 383    
ExShareAddressSpaceWithDevice                         005EFB49 384    
ExSizeOfAutoExpandPushLock                            005EE794 385    
ExSizeOfRundownProtectionCacheAware                   007A42BA 386    
ExSubscribeWnfStateChange                             00753608 387    
ExSystemExceptionFilter                               0068161C 388    
ExSystemTimeToLocalTime                               004EB288 389    
ExTimerObjectType                                     0063CD1C 390    
ExTryAcquireSpinLockExclusiveAtDpcLevel               004EF260 391    
ExTryAcquireSpinLockSharedAtDpcLevel                  005EF1DB 392    
ExTryConvertSharedSpinLockExclusive                   004D93A6 393    
ExTryQueueWorkItem                                    004EF3CA 394    
ExTryToAcquireResourceExclusiveLite                   005EECBF 395    
ExUnregisterCallback                                  005129B2 396    
ExUnregisterExtension                                 008DF746 397    
ExUnsubscribeWnfStateChange                           00734DD8 398    
ExUpdateLicenseData                                   008D8C3E 399    
ExUuidCreate                                          006FEB5A 400    
ExVerifySuite                                         0051F6D0 401    
ExWindowStationObjectType                             0063CD34 402    
Exi386InterlockedDecrementLong                        005EEF3B 403    
Exi386InterlockedExchangeUlong                        005EEF51 404    
Exi386InterlockedIncrementLong                        005EEF67 405    
FirstEntrySList                                       00539E8C 406    
FsRtlAcknowledgeEcp                                   00753D02 407    
FsRtlAcquireEofLock                                   00457F50 408    
FsRtlAcquireFileExclusive                             006BD5D4 409    
FsRtlAcquireHeaderMutex                               00458FF0 410    
FsRtlAddBaseMcbEntry                                  004CA392 411    
FsRtlAddBaseMcbEntryEx                                004CA3C0 412    
FsRtlAddLargeMcbEntry                                 004C9E1E 413    
FsRtlAddMcbEntry                                      005924F8 414    
FsRtlAddToTunnelCache                                 006E2CE0 415    
FsRtlAllocateExtraCreateParameter                     0070E452 416    
FsRtlAllocateExtraCreateParameterFromLookasideList    00712C10 417    
FsRtlAllocateExtraCreateParameterList                 0070E500 418    
FsRtlAllocateFileLock                                 004EA3F2 419    
FsRtlAllocatePool                                     00592F96 420    
FsRtlAllocatePoolWithQuota                            00592FC2 421    
FsRtlAllocatePoolWithQuotaTag                         00592FEE 422    
FsRtlAllocatePoolWithTag                              00593018 423    
FsRtlAllocateResource                                 008596C1 424    
FsRtlAreNamesEqual                                    004C6790 425    
FsRtlAreThereCurrentOrInProgressFileLocks             00592A0D 426    
FsRtlAreThereWaitingFileLocks                         00592A38 427    
FsRtlAreVolumeStartupApplicationsComplete             00766A58 428    
FsRtlBalanceReads                                     0076693C 429    
FsRtlCancellableWaitForMultipleObjects                006BB490 430    
FsRtlCancellableWaitForSingleObject                   00751242 431    
FsRtlChangeBackingFileObject                          00506EAC 432    
FsRtlCheckLockForOplockRequest                        004EB21E 433    
FsRtlCheckLockForReadAccess                           004D3E50 434    
FsRtlCheckLockForWriteAccess                          004D3FDC 435    
FsRtlCheckOplock                                      00468E80 436    
FsRtlCheckOplockEx                                    00468F00 437    
FsRtlCheckUpperOplock                                 0077ABEC 438    
FsRtlCopyRead                                         00859733 439    
FsRtlCopyWrite                                        00859954 440    
FsRtlCreateSectionForDataScan                         004A5BFA 441    
FsRtlCurrentBatchOplock                               007376CA 442    
FsRtlCurrentOplock                                    00593042 443    
FsRtlCurrentOplockH                                   0085A72F 444    
FsRtlDeleteExtraCreateParameterLookasideList          008596E2 445    
FsRtlDeleteKeyFromTunnelCache                         0072DB88 446    
FsRtlDeleteTunnelCache                                0076061E 447    
FsRtlDeregisterUncProvider                            0085A623 448    
FsRtlDismountComplete                                 00760F4E 449    
FsRtlDissectDbcs                                      0085AD21 450    
FsRtlDissectName                                      004C9CA0 451    
FsRtlDoesDbcsContainWildCards                         0085ADC5 452    
FsRtlDoesNameContainWildCards                         004BE8F0 453    
FsRtlFastCheckLockForRead                             004D3EDA 454    
FsRtlFastCheckLockForWrite                            004D406E 455    
FsRtlFastUnlockAll                                    004CD07E 456    
FsRtlFastUnlockAllByKey                               00592B66 457    
FsRtlFastUnlockSingle                                 004CD826 458    
FsRtlFindExtraCreateParameter                         006AB620 459    
FsRtlFindInTunnelCache                                006E2F58 460    
FsRtlFreeExtraCreateParameter                         006CF5FA 461    
FsRtlFreeExtraCreateParameterList                     006CF662 462    
FsRtlFreeFileLock                                     004EA04E 463    
FsRtlGetEcpListFromIrp                                006AA1B0 464    
FsRtlGetFileNameInformation                           00744BD4 465    
FsRtlGetFileSize                                      0070648A 466    
FsRtlGetIoAtEof                                       004BB0A0 467    
FsRtlGetNextBaseMcbEntry                              004CE920 468    
FsRtlGetNextExtraCreateParameter                      0074EF9E 469    
FsRtlGetNextFileLock                                  00592C02 470    
FsRtlGetNextLargeMcbEntry                             0059251C 471    
